"TABLE_NAME"
"A"
"ABATIMENTOICMSEXP"
"ABSORCAOHISTCONTA"
"ACABAMENTOINTERNO"
"ACABAMENTOVERSAO"
"ACAOMONI"
"ACERTOADICTRANS"
"ACERTOANIMAIS"
"ACERTOAVES"
"ACERTOCANA"
"ACERTOCHEQUE"
"ACERTOCOMISFROTA"
"ACERTOCOMISFROTACOORD"
"ACERTOCTRCTRANS"
"ACERTOEMBARQUE"
"ACERTOEMBARQUE_TMP"
"ACERTOEMBFINANC"
"ACERTOEMBITEM"
"ACERTOEMBVALE"
"ACERTOMATRIZ"
"ACERTOPAGFRETETRANS"
"ACERTOPECUARIO"
"ACERTOPESOMATRIZ"
"ACERTOPOSTMATRIZ"
"ACERTOPREMIO"
"ACERTOPRODMATRIZ"
"ACERTOSALDOMATRIZ"
"ACERTOVIAGEM"
"ACESSOLANCAMENTOPCP"
"ACESSOPROG"
"ACESSOSETORMEDICAOPCP"
"ACESSOUSUARIOPRODUTOR"
"ADIANTFROTA"
"ADIANTTRANSP"
"ADICAOIMPORTACAO"
"ADICAOIMPORTACAOTMP"
"ADICFRETEEMPRCONTR"
"ADICIONALFRETE"
"ADICIONALFRETE_TMP"
"ADICONTAS"
"AGENCIA"
"AGENCIA_TMP"
"AGENDAFRETE"
"AGENDAMENTOINTEGRACAOMTECH"
"AGENDAMENTONOTIFICACAO"
"AGENDARECALESTOQUE"
"AGENDASINISTRO"
"AGENDATEL"
"AGENDATEL_EMAIL"
"AGENDATEL_TELEFONE"
"AGENDATRAFEGO"
"AGENTECAUSADOR"
"AGENTEPAGAMENTO"
"AGENTESEG"
"AGRUPAMENTOEMBARQUE"
"AGRUPAMENTOPESAGEMBAL"
"AJUDAMAXYS"
"AJUDAMAXYSMENSAGEM"
"AJUSTEAPURACAOICMS"
"AJUSTEBCPISCOF"
"AJUSTEEFD"
"AJUSTERECEITAREINF"
"ALCADA"
"ALCADACONTRFRETE"
"ALCADAMKT"
"ALIQUOTACALCESTADO"
"ALIQUOTACALCEXCECAO"
"ALIQUOTACALCIMPOSTO"
"ALIQUOTAIBPT"
"ALIQUOTAICMS"
"ALIQUOTAIMP"
"ALIQUOTAIMP_TMP"
"ALOJAMENTO"
"ALTERACAOANALISECLIFORCRED"
"ALTERACAOCLIFORCRED"
"ALTERACOESFIXACAO"
"ALTERPEDMOBILE"
"AMOSTRACLASSIF"
"AMOSTRAFARDO"
"AMOSTRAGRAO"
"AMOSTRAGRAOCONTR"
"AMOSTRAGRAO_TMP"
"AMOSTRALABPCP"
"AMOSTRAPONDERADA"
"AMOSTRASACARIA"
"AMOSTRASUBPRODCOND"
"AMOSTRASUBPRODREGRA"
"AMOSTRA_TEMP"
"AMOSTRA_TMP"
"AMPLITUDECLASSIF"
"ANALISEBAL"
"ANALISECADCLIFOR"
"ANALISECHECAGEM"
"ANALISECLIFORCREDIRRF"
"ANALISECLIFORCREDITO"
"ANALISECOLHEITA"
"ANALISECREDBALANCOPATRIMON"
"ANALISEETECH"
"ANALISEFARDOALGODAO"
"ANALISEGRAO"
"ANALISEPCP_MP"
"ANALISEPCP_MP_VALOR"
"ANALISEPCP_PF"
"ANALISEPCP_PF_VALOR"
"ANALISEPERDASALDOCTRC"
"ANALISEQUALIDADE"
"ANALISERISCO"
"ANALISESALMONELLA"
"ANALISETRATAMENTO"
"ANEXO_EMAIL"
"ANEXOESTUDOMONI"
"ANEXOITEMCOMPRA"
"ANEXOPROJETOMONI"
"ANIMAL"
"ANIMALDESPESA"
"ANIMAL_TMP"
"ANOSAFRA"
"ANOSAFRA_TMP"
"ANO_TMP"
"APLICACAO"
"APLICACAOWEB"
"APOLICEAGENTE"
"APONTAMENTO"
"APONTAMENTOAFERICAO"
"APONTAMENTOENSAIOPESAGEM"
"APONTAMENTOLENKE"
"APONTAMENTORDEMPRODUCAO"
"APROPRIACAO"
"APROVADORCARGAAVULSA"
"APROVADORMKT"
"APROVADORNEGOCIO"
"APROVCARGAAVULSA"
"APROVEITAQUIS"
"APROVEITAQUISMONET"
"APTIDAOINSTAL"
"APURACAOMENSAL"
"APURLUCROREAL"
"AQUISIMOBILIZ"
"AQUISIMOBILIZBAIXA"
"AQUISIMOBILIZTRANS"
"AQUISIMOBILIZTRANS_TMP"
"AQUISITEMTRANS"
"AREA"
"AREALAVOURA"
"AREAMODULO"
"AREA_TMP"
"ARQUIVO"
"ARQUIVOCLASSIFICACAO"
"ARQUIVOCONTRATOEXPORTACAO"
"ARQUIVOLR"
"ARQUIVOPRONTO_TMP"
"ARQUIVOREINF"
"ARQUIVORET_TMP"
"ARQUIVOSESOCIAL"
"ARQUIVOTICKETLOGCOMB"
"ARQUIVOTICKETLOGCOMB_TMP"
"ARQUIVOTICKETLOGMAXYS_TMP"
"ARQUIVOTICKETLOGRECO"
"ARQUIVO_TMP"
"ARQUIVOWEB_TMP"
"ARRACOAMENTORACAO"
"ASPECTOLAUDOPRODSEMENTE"
"ATACOMPRA"
"ATACOMPRACOTACAOIMPOSTO"
"ATACOMPRAITEMCOTACAOPRECO"
"ATACOMPRAUTORIZ"
"ATENDBLOQDOCUMENTO"
"ATENDIMENTOEMBARQUE"
"ATRIBPROGRAMA"
"ATUALIZACAO"
"ATUALIZEMPRESA"
"ATUALIZEMPRESATEMP"
"ATUALIZEMPRID"
"ATUVERSAO"
"ATUVERSAOITEM"
"AUDITAINTEGRACAO"
"AUDITAINTONLINE"
"AUDIT_CONTRATOGRAO"
"AUDITPLSQL"
"AUTODOWNLOADXML"
"AUTOMACAOCLASSIFICACAO"
"AUTOMACAOCONTROLELOTE"
"AUTOMACAODESLIGAMENTO"
"AUTOMACAOJOB"
"AUTOMACAOLOTE"
